taxon,Solanum_berthaultii,Solanum_laxissimum,Solanum_violaceimarmoratum,Solanum_hougasii,Solanum_verrucosum,Solanum_demissum,Solanum_microdontum,Solanum_venturii,Solanum_vernei,Solanum_brevicaule,Solanum_commersonii,Solanum_chacoense,Solanum_kurtzianum,Solanum_cajamarquense,Solanum_acaule,Solanum_limbaniense,Solanum_multiinterruptum,Solanum_medians,Solanum_acroglossum,Solanum_chomatophilum,Solanum_acroscopicum,Solanum_paucissectum,Solanum_sogarandinum,Solanum_andreanum,Solanum_albornozii,Solanum_bulbocastanum,Solanum_polyadenium
Solanum_berthaultii,5.79,5.03,4.28,4.16,4.16,4.16,3.95,3.95,3.95,3.95,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_laxissimum,5.03,5.79,4.28,4.16,4.16,4.16,3.95,3.95,3.95,3.95,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_violaceimarmoratum,4.28,4.28,5.79,4.16,4.16,4.16,3.95,3.95,3.95,3.95,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_hougasii,4.16,4.16,4.16,5.79,5.33,5.33,3.95,3.95,3.95,3.95,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_verrucosum,4.16,4.16,4.16,5.33,5.79,5.45,3.95,3.95,3.95,3.95,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_demissum,4.16,4.16,4.16,5.33,5.45,5.79,3.95,3.95,3.95,3.95,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_microdontum,3.95,3.95,3.95,3.95,3.95,3.95,5.79,4.78,4.78,4.48,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_venturii,3.95,3.95,3.95,3.95,3.95,3.95,4.78,5.79,5.12,4.48,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_vernei,3.95,3.95,3.95,3.95,3.95,3.95,4.78,5.12,5.79,4.48,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_brevicaule,3.95,3.95,3.95,3.95,3.95,3.95,4.48,4.48,4.48,5.79,3.86,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_commersonii,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,5.79,3.56,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_chacoense,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,5.79,3.43,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_kurtzianum,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,5.79,2.44,2.44,2.44,2.44,2.44,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_cajamarquense,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,5.79,4.82,3.17,3.17,3.17,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_acaule,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,4.82,5.79,3.17,3.17,3.17,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_limbaniense,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,3.17,3.17,5.79,4.96,4.54,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_multiinterruptum,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,3.17,3.17,4.96,5.79,4.54,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_medians,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,3.17,3.17,4.54,4.54,5.79,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0,0
Solanum_acroglossum,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,5.79,4.16,2.83,2.83,2.83,1.79,1.79,0,0
Solanum_chomatophilum,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,4.16,5.79,2.83,2.83,2.83,1.79,1.79,0,0
Solanum_acroscopicum,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,2.83,2.83,5.79,3.58,3.58,1.79,1.79,0,0
Solanum_paucissectum,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,2.83,2.83,3.58,5.79,4.15,1.79,1.79,0,0
Solanum_sogarandinum,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,2.83,2.83,3.58,4.15,5.79,1.79,1.79,0,0
Solanum_andreanum,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.79,1.79,1.79,1.79,1.79,5.79,3.27,0,0
Solanum_albornozii,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.79,1.79,1.79,1.79,1.79,3.27,5.79,0,0
Solanum_bulbocastanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,1.86
Solanum_polyadenium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86,5.79
